sme_id,preferred_topics,preferred_class_types,preferred_start_time,preferred_end_time
SME039,"[""Java"", ""Machine Learning""]","[""Cohort Class"", ""Office Hours"", ""Assessment Review""]",09:00,19:00
SME040,"[""Machine Learning"", ""Statistics"", ""Mock Interviews""]","[""Doubt Clearing"", ""Mock Interview"", ""Cohort Class""]",09:00,19:00
SME041,"[""React""]","[""Office Hours""]",09:00,13:00
SME042,"[""Resume Review""]","[""Office Hours""]",14:00,18:00
SME043,"[""React""]","[""Mock Interview""]",09:00,13:00
SME044,"[""Python""]","[""Assessment Review""]",10:00,14:00
SME045,"[""Product Strategy""]","[""Mock Interview""]",10:00,14:00
SME046,"[""Python""]","[""Workshop""]",14:00,18:00
SME047,"[""Mock Interviews""]","[""Assessment Review""]",09:00,13:00
SME048,"[""Aptitude""]","[""Doubt Clearing""]",10:00,14:00
SME049,"[""JavaScript""]","[""Mock Interview""]",14:00,18:00
SME050,"[""React""]","[""Assessment Review""]",09:00,13:00
SME051,"[""Java""]","[""Cohort Class""]",10:00,14:00
SME052,"[""Python""]","[""Assessment Review""]",14:00,18:00
SME053,"[""Aptitude""]","[""Doubt Clearing"", ""Workshop""]",09:00,19:00
SME054,"[""DevOps"", ""SQL""]","[""Workshop"", ""Office Hours""]",09:00,19:00
SME055,"[""SQL""]","[""Workshop""]",14:00,18:00
SME056,"[""Python""]","[""Doubt Clearing""]",14:00,18:00
SME057,"[""JavaScript""]","[""Assessment Review"", ""Office Hours""]",09:00,19:00
SME058,"[""Mock Interviews""]","[""Office Hours""]",10:00,14:00
SME059,"[""Java""]","[""Cohort Class""]",10:00,14:00
SME060,"[""Java""]","[""Mock Interview""]",09:00,13:00
SME061,"[""Statistics"", ""Resume Review"", ""Machine Learning""]","[""Doubt Clearing"", ""Office Hours""]",09:00,19:00
SME062,"[""Product Management"", ""Cloud Computing""]","[""Office Hours"", ""Cohort Class"", ""Assessment Review""]",09:00,19:00
SME063,"[""System Design""]","[""Assessment Review""]",10:00,14:00
SME064,"[""Machine Learning""]","[""Office Hours"", ""Cohort Class"", ""Mock Interview""]",09:00,19:00
SME065,"[""Machine Learning""]","[""Cohort Class""]",14:00,18:00
SME066,"[""Data Structures & Algorithms""]","[""Workshop""]",10:00,14:00
SME067,"[""Aptitude"", ""Product Management""]","[""Mock Interview"", ""Assessment Review"", ""Doubt Clearing""]",09:00,19:00
SME068,"[""Python""]","[""Office Hours""]",10:00,14:00
SME069,"[""System Design""]","[""Office Hours""]",14:00,18:00
SME070,"[""Python""]","[""Workshop""]",10:00,14:00
SME071,"[""Python""]","[""Cohort Class""]",10:00,14:00
SME072,"[""DevOps""]","[""Workshop"", ""Cohort Class"", ""Doubt Clearing""]",09:00,19:00
SME073,"[""Product Strategy""]","[""Mock Interview""]",14:00,18:00
SME074,"[""Data Analytics""]","[""Mock Interview""]",14:00,18:00
SME075,"[""JavaScript""]","[""Office Hours"", ""Doubt Clearing""]",09:00,19:00
SME076,"[""Mock Interviews"", ""React"", ""Aptitude""]","[""Assessment Review"", ""Workshop""]",09:00,19:00
SME077,"[""System Design""]","[""Doubt Clearing""]",14:00,18:00
SME078,"[""Statistics""]","[""Doubt Clearing"", ""Office Hours"", ""Cohort Class""]",09:00,19:00
SME079,"[""JavaScript""]","[""Cohort Class""]",09:00,13:00
SME080,"[""Machine Learning""]","[""Workshop"", ""Assessment Review"", ""Doubt Clearing""]",09:00,19:00
SME081,"[""React""]","[""Office Hours"", ""Mock Interview""]",09:00,19:00
SME082,"[""JavaScript""]","[""Mock Interview""]",09:00,13:00
SME083,"[""Behavioral Interviews""]","[""Workshop""]",14:00,18:00
SME084,"[""JavaScript""]","[""Workshop""]",10:00,14:00
SME085,"[""Statistics"", ""Product Strategy"", ""Aptitude""]","[""Workshop"", ""Assessment Review""]",09:00,19:00
SME086,"[""Python""]","[""Doubt Clearing""]",10:00,14:00
SME087,"[""Python""]","[""Workshop"", ""Assessment Review"", ""Mock Interview""]",09:00,19:00
SME088,"[""Data Structures & Algorithms""]","[""Office Hours"", ""Mock Interview""]",09:00,19:00
SME089,"[""Mock Interviews"", ""Product Strategy""]","[""Mock Interview"", ""Assessment Review"", ""Office Hours""]",09:00,19:00
SME090,"[""Cloud Computing"", ""Career Coaching""]","[""Workshop"", ""Doubt Clearing"", ""Office Hours""]",09:00,19:00
SME091,"[""DevOps""]","[""Assessment Review""]",10:00,14:00
SME092,"[""SQL"", ""Python""]","[""Assessment Review"", ""Cohort Class""]",09:00,19:00
SME093,"[""Python""]","[""Cohort Class"", ""Office Hours"", ""Assessment Review""]",09:00,19:00
SME094,"[""Java"", ""Machine Learning""]","[""Assessment Review"", ""Mock Interview""]",09:00,19:00
SME095,"[""Data Analytics""]","[""Cohort Class""]",09:00,13:00
SME096,"[""JavaScript""]","[""Office Hours"", ""Cohort Class""]",09:00,19:00
SME097,"[""DevOps""]","[""Office Hours"", ""Doubt Clearing""]",09:00,19:00
SME098,"[""Data Structures & Algorithms""]","[""Assessment Review""]",10:00,14:00
SME099,"[""Resume Review""]","[""Assessment Review"", ""Doubt Clearing""]",09:00,19:00
SME100,"[""Mock Interviews""]","[""Workshop""]",10:00,14:00
