event_id,sme_id,title,start_datetime,end_datetime
EVT0051,SME012,Training,2026-08-28T05:30:00,2026-08-28T06:15:00
EVT0052,SME012,Curriculum Review,2026-08-24T03:30:00,2026-08-24T04:15:00
EVT0053,SME012,Planning Session,2026-08-24T06:00:00,2026-08-24T06:45:00
EVT0054,SME012,Cohort Class,2026-08-27T02:30:00,2026-08-27T03:30:00
EVT0055,SME012,Personal Block,2026-08-27T11:00:00,2026-08-27T12:00:00
EVT0056,SME013,Personal Block,2026-08-26T04:30:00,2026-08-26T05:00:00
EVT0057,SME013,Curriculum Review,2026-08-25T04:00:00,2026-08-25T05:30:00
EVT0058,SME013,Planning Session,2026-08-25T07:30:00,2026-08-25T08:30:00
EVT0059,SME013,Client Session,2026-08-25T12:30:00,2026-08-25T13:15:00
EVT0060,SME014,Office Hours,2026-08-28T14:00:00,2026-08-28T15:30:00
EVT0061,SME014,Interview Panel,2026-08-26T07:30:00,2026-08-26T08:15:00
EVT0062,SME014,Planning Session,2026-08-26T13:00:00,2026-08-26T13:45:00
EVT0063,SME014,Office Hours,2026-08-24T13:00:00,2026-08-24T13:30:00
EVT0064,SME014,1:1 Sync,2026-08-29T15:00:00,2026-08-29T16:30:00
EVT0065,SME014,Office Hours,2026-08-27T14:00:00,2026-08-27T15:30:00
EVT0066,SME015,Interview Panel,2026-08-24T20:00:00,2026-08-24T21:30:00
EVT0067,SME015,Client Session,2026-08-25T17:30:00,2026-08-25T18:15:00
EVT0068,SME015,Office Hours,2026-08-29T19:00:00,2026-08-29T20:30:00
EVT0069,SME015,Training,2026-08-25T23:30:00,2026-08-26T00:15:00
EVT0070,SME016,Curriculum Review,2026-08-27T11:00:00,2026-08-27T11:30:00
EVT0071,SME016,Curriculum Review,2026-08-29T05:00:00,2026-08-29T06:00:00
EVT0072,SME016,Planning Session,2026-08-26T11:00:00,2026-08-26T11:30:00
EVT0073,SME016,Office Hours,2026-08-24T01:30:00,2026-08-24T02:30:00
EVT0074,SME016,Cohort Class,2026-08-28T00:30:00,2026-08-28T01:30:00
EVT0075,SME016,Cohort Class,2026-08-29T08:00:00,2026-08-29T08:45:00
EVT0076,SME016,Planning Session,2026-08-26T03:00:00,2026-08-26T04:30:00
EVT0077,SME016,Training,2026-08-29T03:00:00,2026-08-29T04:00:00
EVT0078,SME017,Team Meeting,2026-08-28T22:30:00,2026-08-28T23:30:00
EVT0079,SME017,Office Hours,2026-08-24T17:30:00,2026-08-24T19:00:00
EVT0080,SME017,1:1 Sync,2026-08-28T20:00:00,2026-08-28T21:30:00
EVT0081,SME017,Planning Session,2026-08-29T20:30:00,2026-08-29T22:00:00
EVT0082,SME017,Office Hours,2026-08-26T22:00:00,2026-08-26T22:45:00
EVT0083,SME018,Client Session,2026-08-24T08:30:00,2026-08-24T09:30:00
EVT0084,SME018,Cohort Class,2026-08-24T05:00:00,2026-08-24T05:30:00
EVT0085,SME018,Personal Block,2026-08-27T04:30:00,2026-08-27T05:00:00
EVT0086,SME019,Training,2026-08-29T08:00:00,2026-08-29T09:30:00
EVT0087,SME019,Interview Panel,2026-08-27T07:00:00,2026-08-27T08:00:00
EVT0088,SME019,Curriculum Review,2026-08-24T00:00:00,2026-08-24T01:00:00
EVT0089,SME019,Planning Session,2026-08-28T05:30:00,2026-08-28T07:00:00
EVT0090,SME019,Personal Block,2026-08-29T11:30:00,2026-08-29T13:00:00
EVT0091,SME019,Personal Block,2026-08-28T02:30:00,2026-08-28T03:15:00
EVT0092,SME020,Cohort Class,2026-08-27T08:00:00,2026-08-27T08:30:00
EVT0093,SME020,Planning Session,2026-08-26T07:00:00,2026-08-26T07:45:00
EVT0094,SME020,Cohort Class,2026-08-25T14:00:00,2026-08-25T14:45:00
EVT0095,SME020,Interview Panel,2026-08-29T13:30:00,2026-08-29T14:15:00
EVT0096,SME021,Personal Block,2026-08-24T05:00:00,2026-08-24T06:30:00
EVT0097,SME021,Training,2026-08-26T02:00:00,2026-08-26T02:30:00
EVT0098,SME021,Team Meeting,2026-08-28T02:30:00,2026-08-28T03:00:00
EVT0099,SME022,Cohort Class,2026-08-27T05:00:00,2026-08-27T06:00:00
EVT0100,SME022,Office Hours,2026-08-24T14:00:00,2026-08-24T15:00:00
EVT0101,SME022,Training,2026-08-26T11:30:00,2026-08-26T13:00:00
EVT0102,SME022,Cohort Class,2026-08-29T04:00:00,2026-08-29T04:30:00
EVT0103,SME022,Team Meeting,2026-08-29T10:30:00,2026-08-29T11:30:00
EVT0104,SME022,Training,2026-08-27T11:30:00,2026-08-27T13:00:00
EVT0105,SME023,Personal Block,2026-08-26T04:00:00,2026-08-26T04:45:00
EVT0106,SME023,Client Session,2026-08-25T04:00:00,2026-08-25T05:30:00
EVT0107,SME023,Training,2026-08-28T10:00:00,2026-08-28T11:30:00
EVT0108,SME024,Curriculum Review,2026-08-28T20:00:00,2026-08-28T21:00:00
EVT0109,SME024,Curriculum Review,2026-08-25T23:30:00,2026-08-26T00:30:00
EVT0110,SME024,Training,2026-08-26T12:30:00,2026-08-26T13:30:00
EVT0111,SME024,Office Hours,2026-08-26T19:00:00,2026-08-26T19:45:00
EVT0112,SME024,Cohort Class,2026-08-29T18:30:00,2026-08-29T19:30:00
EVT0113,SME024,Interview Panel,2026-08-28T21:00:00,2026-08-28T21:45:00
EVT0114,SME024,Curriculum Review,2026-08-28T18:00:00,2026-08-28T18:30:00
EVT0115,SME025,Planning Session,2026-08-26T13:00:00,2026-08-26T14:30:00
EVT0116,SME025,Personal Block,2026-08-25T10:00:00,2026-08-25T11:30:00
EVT0117,SME025,Planning Session,2026-08-28T14:00:00,2026-08-28T15:00:00
EVT0118,SME025,Team Meeting,2026-08-26T14:30:00,2026-08-26T15:15:00
EVT0119,SME025,Office Hours,2026-08-24T09:30:00,2026-08-24T10:30:00
EVT0120,SME025,Cohort Class,2026-08-24T17:30:00,2026-08-24T19:00:00
EVT0121,SME025,Client Session,2026-08-27T18:00:00,2026-08-27T18:30:00
EVT0122,SME025,Training,2026-08-29T17:30:00,2026-08-29T18:00:00
EVT0123,SME026,Cohort Class,2026-08-29T13:00:00,2026-08-29T14:00:00
EVT0124,SME026,Office Hours,2026-08-28T04:00:00,2026-08-28T05:00:00
EVT0125,SME026,Team Meeting,2026-08-29T06:30:00,2026-08-29T07:15:00
EVT0126,SME026,Team Meeting,2026-08-26T09:30:00,2026-08-26T10:30:00
EVT0127,SME026,Cohort Class,2026-08-26T08:00:00,2026-08-26T08:45:00
EVT0128,SME026,Training,2026-08-24T13:00:00,2026-08-24T14:00:00
EVT0129,SME026,Client Session,2026-08-29T08:30:00,2026-08-29T09:30:00
EVT0130,SME027,Cohort Class,2026-08-28T07:30:00,2026-08-28T08:00:00
EVT0131,SME027,Interview Panel,2026-08-27T07:30:00,2026-08-27T08:00:00
EVT0132,SME027,1:1 Sync,2026-08-25T10:30:00,2026-08-25T11:15:00
EVT0133,SME027,Office Hours,2026-08-28T13:30:00,2026-08-28T15:00:00
EVT0134,SME027,Office Hours,2026-08-24T03:30:00,2026-08-24T04:00:00
EVT0135,SME027,Office Hours,2026-08-26T07:00:00,2026-08-26T07:45:00
EVT0136,SME027,Personal Block,2026-08-28T11:00:00,2026-08-28T11:45:00
EVT0137,SME028,Cohort Class,2026-08-29T01:00:00,2026-08-29T01:45:00
EVT0138,SME028,Interview Panel,2026-08-29T03:30:00,2026-08-29T04:15:00
EVT0139,SME028,Client Session,2026-08-25T01:30:00,2026-08-25T02:00:00
EVT0140,SME029,Client Session,2026-08-27T06:00:00,2026-08-27T06:45:00
EVT0141,SME029,Client Session,2026-08-24T10:00:00,2026-08-24T11:30:00
EVT0142,SME029,Team Meeting,2026-08-26T00:00:00,2026-08-26T01:00:00
EVT0143,SME030,Cohort Class,2026-08-24T09:00:00,2026-08-24T09:45:00
EVT0144,SME030,Cohort Class,2026-08-29T05:00:00,2026-08-29T05:30:00
EVT0145,SME030,Client Session,2026-08-25T08:00:00,2026-08-25T08:30:00
EVT0146,SME031,Personal Block,2026-08-24T08:00:00,2026-08-24T08:45:00
EVT0147,SME031,Interview Panel,2026-08-25T08:00:00,2026-08-25T08:30:00
EVT0148,SME031,Planning Session,2026-08-28T11:30:00,2026-08-28T12:30:00
EVT0149,SME031,Training,2026-08-25T07:00:00,2026-08-25T07:45:00
EVT0150,SME031,Curriculum Review,2026-08-27T06:00:00,2026-08-27T06:45:00
EVT0151,SME031,Client Session,2026-08-24T05:00:00,2026-08-24T06:30:00
EVT0152,SME031,Personal Block,2026-08-28T02:30:00,2026-08-28T03:30:00
EVT0153,SME032,Office Hours,2026-08-29T02:30:00,2026-08-29T03:30:00
EVT0154,SME032,Planning Session,2026-08-24T09:00:00,2026-08-24T10:30:00
EVT0155,SME032,1:1 Sync,2026-08-29T07:00:00,2026-08-29T07:45:00
EVT0156,SME032,Client Session,2026-08-27T07:00:00,2026-08-27T07:45:00
EVT0157,SME032,Team Meeting,2026-08-27T13:00:00,2026-08-27T13:45:00
EVT0158,SME032,Office Hours,2026-08-29T09:30:00,2026-08-29T11:00:00
EVT0159,SME032,Cohort Class,2026-08-28T12:30:00,2026-08-28T13:00:00
EVT0160,SME033,Client Session,2026-08-27T13:30:00,2026-08-27T14:15:00
EVT0161,SME033,Planning Session,2026-08-26T06:00:00,2026-08-26T06:45:00
EVT0162,SME033,Office Hours,2026-08-27T03:30:00,2026-08-27T05:00:00
EVT0163,SME033,Training,2026-08-26T14:00:00,2026-08-26T15:30:00
EVT0164,SME033,Client Session,2026-08-28T06:30:00,2026-08-28T08:00:00
EVT0165,SME033,Interview Panel,2026-08-24T07:00:00,2026-08-24T08:30:00
EVT0166,SME034,Client Session,2026-08-25T02:30:00,2026-08-25T03:00:00
EVT0167,SME034,Curriculum Review,2026-08-27T12:30:00,2026-08-27T13:15:00
EVT0168,SME034,Personal Block,2026-08-28T13:00:00,2026-08-28T13:45:00
EVT0169,SME034,1:1 Sync,2026-08-28T11:30:00,2026-08-28T12:00:00
EVT0170,SME034,Office Hours,2026-08-27T09:30:00,2026-08-27T10:30:00
EVT0171,SME034,1:1 Sync,2026-08-27T11:00:00,2026-08-27T12:00:00
EVT0172,SME034,Client Session,2026-08-28T02:30:00,2026-08-28T04:00:00
EVT0173,SME034,Office Hours,2026-08-25T11:00:00,2026-08-25T11:45:00
EVT0174,SME035,Client Session,2026-08-25T04:30:00,2026-08-25T06:00:00
EVT0175,SME035,Office Hours,2026-08-28T10:30:00,2026-08-28T12:00:00
EVT0176,SME035,Personal Block,2026-08-28T02:00:00,2026-08-28T03:30:00
EVT0177,SME035,Personal Block,2026-08-27T09:30:00,2026-08-27T10:30:00
EVT0178,SME035,Cohort Class,2026-08-26T00:00:00,2026-08-26T00:30:00
EVT0179,SME035,Curriculum Review,2026-08-26T05:00:00,2026-08-26T06:00:00
EVT0180,SME036,Training,2026-08-27T08:00:00,2026-08-27T09:30:00
EVT0181,SME036,Interview Panel,2026-08-24T12:30:00,2026-08-24T13:15:00
EVT0182,SME036,Personal Block,2026-08-29T06:30:00,2026-08-29T07:00:00
EVT0183,SME037,Team Meeting,2026-08-26T04:30:00,2026-08-26T05:30:00
EVT0184,SME037,Personal Block,2026-08-27T13:00:00,2026-08-27T14:30:00
EVT0185,SME037,Training,2026-08-24T14:00:00,2026-08-24T14:30:00
EVT0186,SME038,Office Hours,2026-08-28T09:00:00,2026-08-28T09:30:00
EVT0187,SME038,Office Hours,2026-08-24T13:30:00,2026-08-24T14:30:00
EVT0188,SME038,Planning Session,2026-08-28T13:00:00,2026-08-28T13:45:00
EVT0189,SME038,Office Hours,2026-08-26T08:00:00,2026-08-26T08:45:00
EVT0190,SME038,Personal Block,2026-08-29T03:30:00,2026-08-29T04:30:00
EVT0191,SME038,Planning Session,2026-08-24T07:00:00,2026-08-24T07:45:00
EVT0192,SME039,Personal Block,2026-08-25T02:00:00,2026-08-25T03:00:00
EVT0193,SME039,Interview Panel,2026-08-25T00:30:00,2026-08-25T02:00:00
EVT0194,SME039,Curriculum Review,2026-08-26T16:30:00,2026-08-26T17:30:00
EVT0195,SME039,Curriculum Review,2026-08-29T23:30:00,2026-08-30T00:15:00
EVT0196,SME039,Team Meeting,2026-08-27T19:30:00,2026-08-27T20:15:00
EVT0197,SME039,Interview Panel,2026-08-30T02:00:00,2026-08-30T03:30:00
EVT0198,SME039,Cohort Class,2026-08-28T18:30:00,2026-08-28T20:00:00
EVT0199,SME039,Curriculum Review,2026-08-25T17:30:00,2026-08-25T19:00:00
EVT0200,SME040,Personal Block,2026-08-24T12:30:00,2026-08-24T14:00:00
EVT0201,SME040,Planning Session,2026-08-26T12:30:00,2026-08-26T13:30:00
EVT0202,SME040,Cohort Class,2026-08-25T08:30:00,2026-08-25T09:00:00
EVT0203,SME040,Office Hours,2026-08-25T02:30:00,2026-08-25T03:30:00
EVT0204,SME040,Team Meeting,2026-08-27T11:00:00,2026-08-27T12:30:00
EVT0205,SME041,Personal Block,2026-08-25T06:30:00,2026-08-25T07:00:00
EVT0206,SME041,Office Hours,2026-08-26T12:30:00,2026-08-26T13:00:00
EVT0207,SME041,Planning Session,2026-08-24T02:30:00,2026-08-24T03:30:00
EVT0208,SME041,Client Session,2026-08-26T04:00:00,2026-08-26T05:00:00
EVT0209,SME042,Planning Session,2026-08-29T09:00:00,2026-08-29T09:30:00
EVT0210,SME042,Office Hours,2026-08-29T15:00:00,2026-08-29T16:00:00
EVT0211,SME042,Training,2026-08-24T10:00:00,2026-08-24T11:00:00
EVT0212,SME042,Curriculum Review,2026-08-28T18:30:00,2026-08-28T19:15:00
EVT0213,SME042,Interview Panel,2026-08-25T09:00:00,2026-08-25T09:45:00
EVT0214,SME042,Planning Session,2026-08-26T14:30:00,2026-08-26T15:30:00
EVT0215,SME043,Training,2026-08-27T23:30:00,2026-08-28T00:00:00
EVT0216,SME043,Personal Block,2026-08-28T21:30:00,2026-08-28T22:15:00
EVT0217,SME043,Personal Block,2026-08-25T20:30:00,2026-08-25T21:30:00
EVT0218,SME044,Interview Panel,2026-08-29T09:00:00,2026-08-29T09:30:00
EVT0219,SME044,Training,2026-08-26T08:30:00,2026-08-26T09:30:00
EVT0220,SME044,Curriculum Review,2026-08-29T01:00:00,2026-08-29T02:30:00
EVT0221,SME045,Interview Panel,2026-08-27T07:00:00,2026-08-27T07:30:00
EVT0222,SME045,Training,2026-08-26T05:30:00,2026-08-26T07:00:00
EVT0223,SME045,Client Session,2026-08-29T08:30:00,2026-08-29T09:30:00
EVT0224,SME046,Curriculum Review,2026-08-27T14:00:00,2026-08-27T15:00:00
EVT0225,SME046,Training,2026-08-24T05:00:00,2026-08-24T05:30:00
EVT0226,SME046,Team Meeting,2026-08-27T12:00:00,2026-08-27T13:30:00
EVT0227,SME046,Cohort Class,2026-08-24T12:30:00,2026-08-24T14:00:00
EVT0228,SME046,Training,2026-08-24T08:30:00,2026-08-24T09:30:00
EVT0229,SME046,Interview Panel,2026-08-28T03:30:00,2026-08-28T04:15:00
EVT0230,SME047,Training,2026-08-29T10:00:00,2026-08-29T11:30:00
EVT0231,SME047,Cohort Class,2026-08-27T07:00:00,2026-08-27T08:00:00
EVT0232,SME047,Cohort Class,2026-08-25T01:30:00,2026-08-25T02:30:00
EVT0233,SME047,Team Meeting,2026-08-27T06:00:00,2026-08-27T06:30:00
EVT0234,SME047,Office Hours,2026-08-28T10:00:00,2026-08-28T10:30:00
EVT0235,SME047,Curriculum Review,2026-08-25T04:00:00,2026-08-25T04:30:00
EVT0236,SME047,Client Session,2026-08-28T06:30:00,2026-08-28T07:15:00
EVT0237,SME048,1:1 Sync,2026-08-26T00:00:00,2026-08-26T00:30:00
EVT0238,SME048,Interview Panel,2026-08-27T22:30:00,2026-08-27T23:00:00
EVT0239,SME048,Personal Block,2026-08-29T18:00:00,2026-08-29T19:00:00
EVT0240,SME048,Curriculum Review,2026-08-29T22:30:00,2026-08-29T23:15:00
EVT0241,SME048,Cohort Class,2026-08-30T01:00:00,2026-08-30T02:30:00
EVT0242,SME049,Interview Panel,2026-08-25T15:30:00,2026-08-25T16:30:00
EVT0243,SME049,Planning Session,2026-08-28T22:00:00,2026-08-28T23:00:00
EVT0244,SME049,Team Meeting,2026-08-30T01:30:00,2026-08-30T02:00:00
EVT0245,SME049,Interview Panel,2026-08-27T17:30:00,2026-08-27T19:00:00
EVT0246,SME049,Client Session,2026-08-29T21:30:00,2026-08-29T22:30:00
EVT0247,SME049,Training,2026-08-24T23:00:00,2026-08-24T23:30:00
EVT0248,SME050,Personal Block,2026-08-27T07:30:00,2026-08-27T08:00:00
EVT0249,SME050,Curriculum Review,2026-08-28T12:00:00,2026-08-28T13:00:00
EVT0250,SME050,Planning Session,2026-08-29T07:30:00,2026-08-29T08:00:00
EVT0251,SME050,Training,2026-08-25T06:30:00,2026-08-25T08:00:00
EVT0252,SME051,Cohort Class,2026-08-25T01:30:00,2026-08-25T03:00:00
EVT0253,SME051,Cohort Class,2026-08-26T01:30:00,2026-08-26T02:00:00
EVT0254,SME051,Personal Block,2026-08-27T04:30:00,2026-08-27T06:00:00
EVT0255,SME051,Curriculum Review,2026-08-26T09:30:00,2026-08-26T10:30:00
EVT0256,SME051,1:1 Sync,2026-08-25T05:30:00,2026-08-25T06:15:00
EVT0257,SME051,Interview Panel,2026-08-29T10:30:00,2026-08-29T11:00:00
EVT0258,SME052,Office Hours,2026-08-24T05:30:00,2026-08-24T06:00:00
EVT0259,SME052,Client Session,2026-08-26T05:00:00,2026-08-26T06:30:00
EVT0260,SME052,1:1 Sync,2026-08-27T03:00:00,2026-08-27T04:00:00
EVT0261,SME052,Cohort Class,2026-08-27T10:00:00,2026-08-27T10:30:00
EVT0262,SME053,Cohort Class,2026-08-26T03:30:00,2026-08-26T04:30:00
EVT0263,SME053,Planning Session,2026-08-25T14:00:00,2026-08-25T14:45:00
EVT0264,SME053,Client Session,2026-08-24T10:30:00,2026-08-24T12:00:00
EVT0265,SME054,Team Meeting,2026-08-27T22:00:00,2026-08-27T23:00:00
EVT0266,SME054,Training,2026-08-26T22:00:00,2026-08-26T23:30:00
EVT0267,SME054,Team Meeting,2026-08-28T13:30:00,2026-08-28T14:15:00
EVT0268,SME054,Personal Block,2026-08-24T19:30:00,2026-08-24T21:00:00
EVT0269,SME055,Planning Session,2026-08-29T03:00:00,2026-08-29T03:30:00
EVT0270,SME055,Team Meeting,2026-08-27T07:30:00,2026-08-27T08:15:00
EVT0271,SME055,Client Session,2026-08-29T07:00:00,2026-08-29T07:30:00
EVT0272,SME055,Curriculum Review,2026-08-28T12:00:00,2026-08-28T12:30:00
EVT0273,SME055,Client Session,2026-08-26T04:30:00,2026-08-26T06:00:00
EVT0274,SME055,Curriculum Review,2026-08-24T05:30:00,2026-08-24T07:00:00
EVT0275,SME055,Personal Block,2026-08-26T12:30:00,2026-08-26T13:00:00
EVT0276,SME056,Training,2026-08-27T15:30:00,2026-08-27T16:15:00
EVT0277,SME056,Office Hours,2026-08-29T05:30:00,2026-08-29T06:15:00
EVT0278,SME056,Planning Session,2026-08-27T10:30:00,2026-08-27T11:30:00
EVT0279,SME056,Training,2026-08-28T10:00:00,2026-08-28T11:30:00
EVT0280,SME056,Client Session,2026-08-28T06:30:00,2026-08-28T08:00:00
EVT0281,SME056,Interview Panel,2026-08-24T12:30:00,2026-08-24T14:00:00
EVT0282,SME057,1:1 Sync,2026-08-30T02:00:00,2026-08-30T03:30:00
EVT0283,SME057,Personal Block,2026-08-27T21:00:00,2026-08-27T22:30:00
EVT0284,SME057,1:1 Sync,2026-08-25T17:30:00,2026-08-25T18:15:00
EVT0285,SME057,Team Meeting,2026-08-27T19:00:00,2026-08-27T19:30:00
EVT0286,SME057,Client Session,2026-08-28T16:30:00,2026-08-28T18:00:00
EVT0287,SME057,Personal Block,2026-08-28T01:30:00,2026-08-28T02:30:00
EVT0288,SME057,Curriculum Review,2026-08-25T21:00:00,2026-08-25T21:30:00
EVT0289,SME057,Office Hours,2026-08-29T19:30:00,2026-08-29T21:00:00
EVT0290,SME058,Cohort Class,2026-08-26T09:00:00,2026-08-26T09:45:00
EVT0291,SME058,Curriculum Review,2026-08-24T15:30:00,2026-08-24T16:00:00
EVT0292,SME058,Client Session,2026-08-28T04:00:00,2026-08-28T05:30:00
EVT0293,SME058,Curriculum Review,2026-08-24T06:30:00,2026-08-24T08:00:00
EVT0294,SME058,Planning Session,2026-08-29T15:30:00,2026-08-29T16:30:00
EVT0295,SME058,Client Session,2026-08-28T09:30:00,2026-08-28T10:30:00
EVT0296,SME058,Client Session,2026-08-25T06:00:00,2026-08-25T06:45:00
EVT0297,SME059,Office Hours,2026-08-29T03:00:00,2026-08-29T03:45:00
EVT0298,SME059,Personal Block,2026-08-29T08:00:00,2026-08-29T08:30:00
EVT0299,SME059,Team Meeting,2026-08-27T02:30:00,2026-08-27T04:00:00
EVT0300,SME060,Office Hours,2026-08-25T05:00:00,2026-08-25T06:30:00
EVT0301,SME060,Personal Block,2026-08-24T09:30:00,2026-08-24T10:15:00
EVT0302,SME060,Team Meeting,2026-08-28T08:30:00,2026-08-28T09:30:00
EVT0303,SME061,Office Hours,2026-08-29T14:00:00,2026-08-29T15:30:00
EVT0304,SME061,Office Hours,2026-08-29T12:00:00,2026-08-29T12:30:00
EVT0305,SME061,Team Meeting,2026-08-27T10:00:00,2026-08-27T10:45:00
EVT0306,SME062,Personal Block,2026-08-24T21:30:00,2026-08-24T22:00:00
EVT0307,SME062,Office Hours,2026-08-29T21:30:00,2026-08-29T22:00:00
EVT0308,SME062,Curriculum Review,2026-08-29T01:30:00,2026-08-29T03:00:00
EVT0309,SME062,Office Hours,2026-08-24T17:30:00,2026-08-24T18:15:00
EVT0310,SME062,Planning Session,2026-08-26T22:00:00,2026-08-26T22:45:00
EVT0311,SME062,Personal Block,2026-08-29T20:30:00,2026-08-29T21:15:00
EVT0312,SME062,Training,2026-08-30T02:30:00,2026-08-30T04:00:00
EVT0313,SME063,Client Session,2026-08-25T11:30:00,2026-08-25T12:30:00
EVT0314,SME063,Interview Panel,2026-08-29T09:30:00,2026-08-29T10:15:00
EVT0315,SME063,Interview Panel,2026-08-27T10:00:00,2026-08-27T10:45:00
EVT0316,SME063,Personal Block,2026-08-28T02:30:00,2026-08-28T03:30:00
EVT0317,SME063,1:1 Sync,2026-08-26T12:30:00,2026-08-26T13:15:00
EVT0318,SME063,Client Session,2026-08-24T04:00:00,2026-08-24T05:30:00
EVT0319,SME064,Personal Block,2026-08-25T03:30:00,2026-08-25T05:00:00
EVT0320,SME064,Cohort Class,2026-08-26T07:30:00,2026-08-26T08:30:00
EVT0321,SME064,Office Hours,2026-08-29T10:30:00,2026-08-29T11:00:00
EVT0322,SME064,1:1 Sync,2026-08-27T03:30:00,2026-08-27T04:00:00
EVT0323,SME064,Client Session,2026-08-24T10:30:00,2026-08-24T11:15:00
EVT0324,SME064,Office Hours,2026-08-25T07:30:00,2026-08-25T08:30:00
EVT0325,SME064,Training,2026-08-28T09:30:00,2026-08-28T10:15:00
EVT0326,SME065,Curriculum Review,2026-08-25T05:00:00,2026-08-25T06:30:00
EVT0327,SME065,Personal Block,2026-08-24T07:30:00,2026-08-24T08:30:00
EVT0328,SME065,Training,2026-08-28T06:00:00,2026-08-28T07:00:00
EVT0329,SME065,Cohort Class,2026-08-29T10:30:00,2026-08-29T11:15:00
EVT0330,SME065,Curriculum Review,2026-08-28T10:00:00,2026-08-28T10:45:00
EVT0331,SME066,Office Hours,2026-08-27T19:30:00,2026-08-27T20:00:00
EVT0332,SME066,Training,2026-08-25T12:00:00,2026-08-25T12:30:00
